head,relation,tail,head_type,tail_type,description
接收通道噪声升高,影响,SNR下降,质量现象,质量指标,接收链路噪声升高会降低信噪比
SNR下降,可能原因,温度漂移,质量指标,环境工况,温度变化会影响射频链路稳定性
SNR下降,可能原因,器件老化,质量指标,元器件状态,射频器件老化可能导致噪声系数上升
器件老化,处置措施,校准或更换,元器件状态,处置措施,根据测试结果执行校准或更换
接口异常,影响,跟踪稳定性下降,质量现象,质量指标,软件接口异常会影响跟踪链路稳定性
跟踪稳定性下降,可能原因,软件版本变更,质量指标,软件对象,版本变更可能引入接口兼容问题
软件版本变更,处置措施,回归测试或版本回退,软件对象,处置措施,优先做回归测试再决定是否回退
ESR升高,导致,容量衰减,质量现象,元器件状态,电容 ESR 升高会导致容量衰减
容量衰减,可能原因,电应力老化,元器件状态,失效机理,长期电应力导致介质退化
电应力老化,处置措施,降额使用或批次筛查,失效机理,处置措施,通过降额和筛查降低失效概率
异常特征feature_87,关联,制造过程波动,质量指标,过程状态,SECOM关键特征可映射到制造过程波动
制造过程波动,处置措施,复核工艺参数,过程状态,处置措施,复核工艺参数和设备状态
异常特征59,关联,制造过程波动,质量指标,过程状态,SECOM 本地实验筛选出的关键特征，映射为制造过程波动风险信号
异常特征33,关联,设备状态漂移,质量指标,过程状态,SECOM 本地实验筛选出的关键特征，可能对应设备状态漂移
异常特征64,关联,工艺窗口偏移,质量指标,过程状态,SECOM 本地实验筛选出的关键特征，可能对应工艺窗口偏移
异常特征130,关联,批次一致性下降,质量指标,过程状态,SECOM 本地实验筛选出的关键特征，可能对应批次一致性下降
异常特征477,关联,传感器测点异常,质量指标,过程状态,SECOM 本地实验筛选出的关键特征，可能对应传感器测点异常
设备状态漂移,处置措施,复核设备状态,过程状态,处置措施,检查设备运行状态、维护记录和校准记录
工艺窗口偏移,处置措施,复核工艺窗口,过程状态,处置措施,复核工艺参数上下限和近期调整记录
批次一致性下降,处置措施,执行批次筛查,过程状态,处置措施,对同批次样本执行一致性筛查
传感器测点异常,处置措施,校验传感器测点,过程状态,处置措施,检查测点漂移、采集链路和传感器状态
C-MAPSS_RUL下降,关联,发动机退化加速,质量指标,元器件状态,C-MAPSS 剩余寿命下降可映射为退化加速风险
发动机退化加速,可能原因,温度传感器漂移,元器件状态,过程状态,温度测点漂移会影响退化状态判断
发动机退化加速,可能原因,压力传感器异常,元器件状态,过程状态,压力测点异常可能反映部件性能退化
发动机退化加速,处置措施,缩短检测周期,元器件状态,处置措施,当 RUL 下降较快时提升检测频率
温度传感器漂移,处置措施,校验温度测点,过程状态,处置措施,复核温度测点校准与采集链路
压力传感器异常,处置措施,校验压力测点,过程状态,处置措施,复核压力测点采集链路和标定记录
RUL趋势突降,关联,潜在失效风险升高,质量指标,质量现象,RUL 曲线突降提示潜在失效风险
潜在失效风险升高,处置措施,安排预防性维护,质量现象,处置措施,在失效前安排维护和备件准备
雷达整机性能下降,影响,任务完成率下降,质量现象,质量指标,整机性能下降会直接影响任务完成率
任务完成率下降,可能原因,接收通道噪声升高,质量指标,质量现象,接收链路异常会影响整机任务性能
任务完成率下降,可能原因,软件接口异常,质量指标,质量现象,软件接口异常会影响任务链路稳定性
雷达整机性能下降,处置措施,执行整机复测,质量现象,处置措施,对整机执行复测并检查关键指标
接收通道噪声升高,可能原因,低噪声放大器老化,质量现象,元器件状态,低噪声放大器老化可能导致噪声升高
低噪声放大器老化,处置措施,更换低噪声放大器,元器件状态,处置措施,对老化 LNA 执行更换或降额使用
发射功率波动,影响,探测距离下降,质量现象,质量指标,发射功率波动会降低探测距离
探测距离下降,可能原因,功放模块热漂移,质量指标,元器件状态,功放热漂移导致发射链路不稳定
功放模块热漂移,处置措施,复核散热与功放状态,元器件状态,处置措施,检查散热设计、温度记录和功放状态
时钟同步异常,影响,目标跟踪误差增大,质量现象,质量指标,时钟同步异常会导致目标跟踪误差增大
目标跟踪误差增大,可能原因,时钟模块漂移,质量指标,元器件状态,时钟模块漂移影响时间同步精度
时钟模块漂移,处置措施,校准时钟模块,元器件状态,处置措施,对时钟源和同步链路执行校准
软件接口异常,关联,接口协议不兼容,质量现象,软件对象,接口协议不兼容会导致调用失败或数据错位
接口协议不兼容,处置措施,执行接口一致性测试,软件对象,处置措施,执行接口契约、边界值和回归测试
版本回归失败,影响,缺陷复现率升高,质量现象,质量指标,回归失败说明版本质量风险较高
缺陷复现率升高,可能原因,测试覆盖不足,质量指标,软件对象,测试覆盖不足导致缺陷逃逸
测试覆盖不足,处置措施,补充回归测试用例,软件对象,处置措施,补充关键路径和接口回归测试用例
日志告警密度升高,关联,运行稳定性下降,质量指标,质量现象,告警密度升高提示软件运行稳定性下降
运行稳定性下降,处置措施,分析日志告警模式,质量现象,处置措施,聚类分析告警模式并定位高频模块
电容ESR升高,导致,电源纹波增大,质量现象,质量指标,电容 ESR 升高会导致电源纹波增大
电源纹波增大,影响,接收通道噪声升高,质量指标,质量现象,电源噪声可能传导到接收链路
电源纹波增大,处置措施,筛查电源滤波器件,质量指标,处置措施,筛查滤波电容和电源模块状态
焊点空洞率升高,影响,热阻增大,质量现象,质量指标,焊点空洞增加会导致热阻增大
热阻增大,可能原因,封装工艺异常,质量指标,过程状态,封装工艺异常可能导致热路径恶化
封装工艺异常,处置措施,复核封装工艺参数,过程状态,处置措施,复核回流焊、固化和检测参数
批次一致性下降,关联,供应商质量波动,过程状态,过程状态,批次一致性下降可能来自供应商质量波动
供应商质量波动,处置措施,执行供应商复评,过程状态,处置措施,复评供应商过程能力和来料检验记录
